date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2017-05-17 00:00:00,0.0087,0.0612,0.83,,rain,46.27,33.34,30.2,0.65,1008.3,5.65,312,0.81,6,9.439
2017-05-18 00:00:00,0,0.0002,0.1,,,48.92,42.38,30.08,0.64,1015.4,4.34,345,0.75,6,9.997
2017-05-19 00:00:00,0,0,0,,,57.74,41.41,31.17,0.5,1017.9,4.07,334,0.74,6,9.997
2017-05-20 00:00:00,0,0,0,,,68.4,51.01,32.74,0.45,1017.2,3.34,300,0.23,8,9.997
2017-05-21 00:00:00,0.0028,0.0187,0.68,,rain,64.78,47.19,42.95,0.61,1018,3.95,259,0.64,6,9.965
2017-05-22 00:00:00,0,0,0,,,72.67,53.91,39.83,0.49,1019.8,3.7,325,0.02,11,9.997
2017-05-23 00:00:00,0,0,0,,,79.27,58.65,38.82,0.38,1015.6,4.22,342,0.05,10,9.997
2017-05-24 00:00:00,0.0001,0.0008,0.05,,rain,85.3,54.78,37.4,0.31,1001.9,6.11,203,0.34,8,9.997
2017-05-25 00:00:00,0,0,0,,,67.83,52.23,33.48,0.36,1001.1,5.89,335,0.47,11,9.997
2017-05-26 00:00:00,0,0,0,,,65.55,45.08,35.07,0.43,1006.5,5.5,333,0.26,8,9.997
2017-05-27 00:00:00,0,0,0,,,67.74,48.51,37.09,0.49,1018.9,4.52,324,0.02,11,9.997
2017-05-28 00:00:00,0,0,0,,,75.78,52.67,36.18,0.39,1018.9,3.49,324,0,11,9.997
2017-05-29 00:00:00,0,0,0,,,80.61,56.64,37.63,0.35,1014.8,3.51,330,0,11,9.997
2017-05-30 00:00:00,0,0,0,,,85.38,63.04,35.5,0.29,1011.5,3.85,158,0.02,11,9.997
2017-05-31 00:00:00,0,0,0,,,88.25,67.2,33.15,0.23,1005.7,6.21,170,0.14,10,9.997
2017-06-01 00:00:00,0,0.0009,0.06,,,81.78,56.44,39.95,0.31,1006.3,5.86,153,0.49,7,9.997
2017-06-02 00:00:00,0,0.0002,0.04,,,78.22,54.49,40.55,0.4,1013.1,3.95,339,0.07,11,9.997
2017-06-03 00:00:00,0,0,0,,,88.75,66.33,36.19,0.29,1012.4,3.53,142,0,11,9.997
2017-06-04 00:00:00,0,0,0,,,93.09,63.45,36.39,0.23,1005.6,5.7,173,0.16,11,9.997
2017-06-05 00:00:00,0,0,0,,,83.37,60.79,45.09,0.36,1009.2,5.01,314,0.04,11,9.997
2017-06-06 00:00:00,0,0,0,,,90.16,69.67,42.36,0.32,1010.4,3.97,288,0.01,11,9.997
2017-06-07 00:00:00,0,0,0,,,94.07,71.6,34.17,0.2,1007,6.59,172,0.06,11,9.997
2017-06-08 00:00:00,0,0,0,,,91.28,58.48,24.2,0.13,1004.2,9.89,176,0.13,10,9.997
2017-06-09 00:00:00,0,0,0,,,87.5,53.15,38.36,0.32,1002.1,7.08,273,0.05,11,9.997
2017-06-10 00:00:00,0,0,0,,,76.93,55.06,42.65,0.45,1002.3,4.99,326,0.1,11,9.997
2017-06-11 00:00:00,0,0,0,,,86.57,63.03,36.9,0.32,998.3,7.58,176,0.19,9,9.997
2017-06-12 00:00:00,0,0,0,,,67.77,47.46,23.4,0.22,1000.8,9.96,195,0.44,8,9.997
2017-06-13 00:00:00,0.0056,0.0252,0.77,,rain,68.44,50.6,41.45,0.6,1011.9,3.7,105,0.66,6,9.869
2017-06-14 00:00:00,0,0,0,,,77.12,55.94,40.22,0.44,1014.4,3.58,351,0.02,11,9.997
2017-06-15 00:00:00,0,0,0,,,84.7,60.57,39.86,0.34,1012.5,3.86,348,0.05,11,9.997
2017-06-16 00:00:00,0,0,0,,,88.7,64.22,42.71,0.32,1011.1,3.25,303,0.04,11,9.997
2017-06-17 00:00:00,0,0,0,,,77.97,59.29,46.9,0.43,1012.1,5.47,339,0.25,9,9.997
2017-06-18 00:00:00,0,0,0,,,83.03,61.82,42.79,0.37,1015.5,3.99,340,0.01,11,9.997
2017-06-19 00:00:00,0,0,0,,,90.76,69.41,46.73,0.37,1015,3.12,350,0,11,9.997
2017-06-20 00:00:00,0,0,0,,,97.18,69.61,45.05,0.28,1011.5,4.36,114,0.12,11,9.997
2017-06-21 00:00:00,0,0,0,,,95.25,65.32,46.5,0.3,1007.8,4.45,4,0.09,10,9.997
2017-06-22 00:00:00,0,0,0,,,84.24,58.12,37.7,0.27,1009.6,5.32,332,0,11,9.997
2017-06-23 00:00:00,0,0,0,,,82.87,58.74,33.4,0.26,1015,4.21,326,0,11,9.997
2017-06-24 00:00:00,0,0,0,,,86.17,60.34,34.26,0.26,1016.1,3.62,330,0,11,9.997
2017-06-25 00:00:00,0,0,0,,,91.3,65.56,39.02,0.27,1015.1,3.61,0,0,11,9.997
2017-06-26 00:00:00,0,0,0,,,96.66,69.95,38.7,0.24,1008.9,4.79,162,0.09,11,9.997
2017-06-27 00:00:00,0,0,0,,,87.28,62.24,37.15,0.22,1005.4,5.68,317,0.13,10,9.974
2017-06-28 00:00:00,0,0,0,,,87.33,61.59,37.12,0.26,1004.8,4.51,336,0.03,11,9.997
2017-06-29 00:00:00,0,0,0,,,82.11,59.14,32.67,0.26,1010.6,4.68,351,0.03,11,9.997
2017-06-30 00:00:00,0,0,0,,,82.94,58.56,35.81,0.27,1014.7,4.2,349,0,11,9.997
2017-07-01 00:00:00,0,0,0,,,90.95,67.74,38.04,0.28,1010.8,3.34,65,0.02,11,9.997
2017-07-02 00:00:00,0,0,0,,,94.64,73.5,37.4,0.22,1008.9,4.37,163,0.14,11,9.997
2017-07-03 00:00:00,0,0,0,,,95.14,70.44,36,0.19,1010.3,5.04,165,0.04,11,9.997
2017-07-04 00:00:00,0,0,0,,,98.07,73.36,38.79,0.22,1010.9,4.34,124,0,11,9.997
2017-07-05 00:00:00,0,0,0,,,100.98,71.87,39.85,0.21,1011.4,5.98,140,0.03,11,9.997
2017-07-06 00:00:00,0,0,0,,,98.38,73.38,40.95,0.22,1014,4.35,320,0.15,11,9.997
2017-07-07 00:00:00,0,0,0,,,98.55,72.98,42.68,0.23,1014.2,4.3,1,0.05,11,9.997
2017-07-08 00:00:00,0.0003,0.0055,0.35,,rain,99.19,72.2,44.09,0.24,1012.8,4.82,132,0.15,11,9.997
2017-07-09 00:00:00,0,0,0,,,96.84,74.84,46.2,0.28,1011.3,3.97,157,0.24,11,9.997
2017-07-10 00:00:00,0,0,0,,,92.6,74.71,50.83,0.34,1009.2,3.78,144,0.42,11,9.997
2017-07-11 00:00:00,0,0,0,,,91.29,70.52,49.45,0.32,1007.5,5.52,172,0.23,11,9.997
2017-07-12 00:00:00,0,0,0,,,92.39,69.6,47.37,0.31,1010.2,4.72,172,0.05,11,9.997
2017-07-13 00:00:00,0,0,0,,,95.49,71.04,46.33,0.3,1012.6,4.5,162,0.07,11,9.997
2017-07-14 00:00:00,0,0,0,,,93.55,69.78,47.49,0.31,1014.2,4.52,102,0.09,11,9.997
2017-07-15 00:00:00,0,0,0,,,97.31,73.32,45.39,0.28,1013.3,4.09,70,0,11,9.997
2017-07-16 00:00:00,0,0,0,,,95.01,72.83,46.74,0.27,1010.1,4.9,341,0.03,11,9.997
2017-07-17 00:00:00,0.0001,0.0024,0.2,,rain,95.11,70.96,48.52,0.32,1007.7,5.03,149,0.33,9,9.997
2017-07-18 00:00:00,0,0,0,,,97.88,81.41,50.32,0.32,1009.1,4.78,158,0.07,11,9.997
2017-07-19 00:00:00,0,0,0,,,93.37,72.84,53.72,0.36,1009.7,7.01,171,0.43,8,9.997
2017-07-20 00:00:00,0,0,0,,,92.9,73.75,53.8,0.39,1010.3,7.47,169,0.19,10,9.997
2017-07-21 00:00:00,0,0,0,,,93.16,70.93,51.44,0.34,1009.7,4.74,255,0.15,10,9.997
2017-07-22 00:00:00,0,0,0,,,93.13,68.43,49.39,0.33,1011.9,3.96,126,0.02,11,9.997
2017-07-23 00:00:00,0,0,0,,,93.54,71.55,45.3,0.29,1010.5,3.58,154,0.04,11,9.997
2017-07-24 00:00:00,0,0.0009,0.16,,,95.47,66.29,47.18,0.3,1008.3,3.75,151,0.19,10,9.997
2017-07-25 00:00:00,0.0023,0.0138,0.76,,rain,81.2,64.03,58.24,0.6,1012.8,3.97,163,0.73,6,9.997
2017-07-26 00:00:00,0.0069,0.0789,0.7,,rain,87.5,63.85,58.44,0.59,1015.5,3.93,154,0.51,8,9.761
2017-07-27 00:00:00,0.0001,0.0069,0.33,,rain,88.53,67.19,53.71,0.48,1014.6,3.82,356,0.14,10,9.997
2017-07-28 00:00:00,0,0,0,,,88.04,64.96,51.31,0.42,1013.2,3.7,342,0.25,8,9.997
2017-07-29 00:00:00,0,0,0,,,92.14,66.95,48.08,0.37,1014.1,3.81,347,0.01,10,9.997
2017-07-30 00:00:00,0,0,0,,,92.28,67.59,47.11,0.32,1015.2,4.55,326,0.02,10,9.997
2017-07-31 00:00:00,0,0,0,,,94.02,68.76,45.91,0.3,1015.5,4.05,329,0.03,10,9.997
2017-08-01 00:00:00,0,0,0,,,96.87,70.05,42.56,0.26,1014,3.97,0,0.01,10,9.997
2017-08-02 00:00:00,0,0,0,,,95.39,72.95,41.67,0.25,1012.8,3.76,345,0.08,10,9.997
2017-08-03 00:00:00,0,0,0,,,95.82,73.61,40.96,0.23,1011.8,4.07,56,0.05,10,9.997
2017-08-04 00:00:00,0,0,0,,,93.17,71.56,45.32,0.28,1008.7,5.41,172,0.06,10,9.997
2017-08-05 00:00:00,0,0,0,,,91.94,68.04,44.27,0.29,1007.2,6.28,177,0.04,10,9.997
2017-08-06 00:00:00,0,0,0,,,87.77,66.26,42.34,0.29,1008.7,4.69,203,0.19,10,9.984
2017-08-07 00:00:00,0,0,0,,,84.79,66.14,48.86,0.41,1012.1,4.23,156,0.33,8,9.997
2017-08-08 00:00:00,0.0001,0.0012,0.06,,rain,84.85,65.14,50.93,0.45,1013.7,4.17,150,0.39,6,9.997
